311904570395734016	positive	Ob das das Internet aushält ? Soviel Papst auf einmal . Habemus ... %PosSmiley	ob die die Internet aushalten ? soviele Papst auf einmal . Habemus ... %PosSmiley	KOUS PDS ART NN VVFIN $. PIAT NN APPR ADV $. NN $. ITJ	5/CP 5/SB 4/NK 5/SB 0/-- 5/-- 8/NK 0/-- 8/MNR 9/NK 10/-- 0/-- 12/-- 12/NK	_ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ *=True case=nom|*=True|num=sg _ _ _ case=nom|gender=masc|num=sg _ EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::Intensity=medium
311921377168986114	neutral	könnte wie beim trimagischen turnier sein : und der neue papst ist ... Harry potter ? Harry hast du deinen namen in de ...	können wie bei trimagischen Turnier sein : und die neu Papst sein ... Harry potter ? Harry haben du dein Name in de ...	VMFIN KOKOM APPRART ADJA NN VAINF $. KON ART ADJA NN VAFIN $. NE ADJD $. NE VAFIN PPER PPOSAT NN APPR NE $.	0/-- 3/CM 1/MO 5/NK 3/NK 1/OC 6/-- 1/CD 11/NK 11/NK 12/PD 8/CJ 12/-- 0/-- 14/PD 15/-- 18/SB 0/-- 18/SB 21/NK 18/OA 21/MNR 22/NK 23/--	pers=3|num=sg|tense=past|mood=subj _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg _ _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True _ case=nom|gender=masc|num=sg pers=2|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=2 case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ *=True _
312075255118188544	negative	Der neue papst heisst wie die schwuchtel von GNTM. Shiet .	die neu Papst heißen wie die schwuchtel von GNTM. Shiet .	ART ADJA NN VVFIN KOKOM ART NN APPR NN NE $.	3/NK 3/NK 4/SB 0/-- 7/CM 7/NK 4/MO 7/PG 8/NK 9/NK 10/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=fem|num=sg case=nom|EmoExpression::markable_10050116::Sarcasm=false|EmoExpression::markable_10050116::Polarity=negative|EmoExpression::markable_10050116::SubjectiveFact=false|gender=fem|EmoExpression::markable_10050116::EmoExpression=True|EmoExpression::markable_10050116::Uncertain=false|num=sg|EmoExpression::markable_10050116::Intensity=medium _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _
311952093823004673	positive	Also mein Künstlername als Papst wäre Jiri Stajner , der Erleuchtete !	also mein Künstlername als Papst sein Jiri Stajner , die Erleuchtete !	ADV PPOSAT NN KOKOM NN VAFIN NE NN $, ART NN $.	3/MO 3/NK 6/SB 3/CD 4/NK 0/-- 8/PNC 6/SB 8/-- 11/NK 8/APP 11/--	_ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg pers=3|num=sg|tense=past|mood=subj case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg case=nom|EmoExpression::markable_104013079::SubjectiveFact=false|gender=masc|EmoExpression::markable_104013079::Intensity=medium|num=sg|EmoExpression::markable_104013079::EmoExpression=True|EmoExpression::markable_104013079::Uncertain=false|EmoExpression::markable_104013079::Polarity=positive|EmoExpression::markable_104013079::Sarcasm=false _
311918372382187521	positive	der ist schon 76, können bald einen neuen wählen %PosSmiley Papst	die sein schon @card@ können bald eine neu wählen %PosSmiley Papst	ART VAFIN ADV CARD VMFIN ADV ART ADJA VVINF ITJ NN	2/SB 0/-- 4/MO 2/SB 2/CJ 5/MO 11/NK 11/NK 11/OC 11/NK 5/OA	case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ pers=3|num=pl|tense=pres|mood=ind _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True _ case=acc|EmoExpression::markable_62::SubjectiveFact=false|EmoExpression::markable_62::Polarity=positive|gender=masc|num=sg|EmoExpression::markable_62::EmoExpression=True|EmoExpression::markable_62::Sarcasm=false|EmoExpression::markable_62::Uncertain=false|EmoExpression::markable_62::Intensity=medium case=acc|gender=masc|num=sg
311923190362411008	positive	Es ist der beste Papst überhaupt . Es kann keinen besseren als Gonzo geben	Es sein die gut Papst überhaupt . es können keine gut als Gonzo geben	NN VAFIN ART ADJA NN ADV $. PPER VMFIN PIAT ADJA KOKOM NE VVFIN	2/SB 0/-- 5/NK 5/NK 2/SB 2/MO 6/-- 9/SB 0/-- 11/NK 14/OA 13/CM 11/CC 9/OC	case=nom|Sentiment::markable_63::Intensity=strong|gender=neut|Sentiment::markable_63::Sentiment=True|Sentiment::markable_63::Sarcasm=false|pers=3|num=sg|Sentiment::markable_63::Polarity=positive pers=3|Sentiment::markable_63::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|Sentiment::markable_63::Sentiment=True case=nom|EmoExpression::markable_65::Intensity=strong|gender=masc|Sentiment::markable_63::Sentiment=True|EmoExpression::markable_65::EmoExpression=True|EmoExpression::markable_65::Uncertain=false|num=sg|EmoExpression::markable_65::Polarity=positive|EmoExpression::markable_65::Sarcasm=false|sup=True|EmoExpression::markable_65::SubjectiveFact=false case=nom|num=sg|gender=masc|Sentiment::markable_63::Sentiment=True|Source::markable_64::Anaphref=empty|Source::markable_64::Source=True Sentiment::markable_63::Sentiment=True _ case=nom|gender=neut|Sentiment::markable_10050117::Intensity=strong|pers=3|num=sg|Sentiment::markable_10050117::Sentiment=True|Sentiment::markable_10050117::Sarcasm=false|Sentiment::markable_10050117::Polarity=positive pers=3|Sentiment::markable_10050117::Sentiment=True|num=sg|tense=pres|mood=ind case=acc|Sentiment::markable_10050117::Sentiment=True|num=sg|Negation::markable_10050119::Negation=True|gender=masc|Negation::markable_10050119::EmoExpressionRef=emo-expression:markable_66 case=acc|EmoExpression::markable_66::EmoExpression=True|gender=neut|EmoExpression::markable_66::Polarity=positive|num=pl|comp=True|Sentiment::markable_10050117::Sentiment=True|EmoExpression::markable_66::Uncertain=false|EmoExpression::markable_66::Intensity=medium|EmoExpression::markable_66::Sarcasm=false|EmoExpression::markable_66::SubjectiveFact=false Sentiment::markable_10050117::Sentiment=True case=nom|num=sg|Target::markable_10050118::Anaphref=empty|Target::markable_10050118::Target=True|Sentiment::markable_10050117::Sentiment=True|gender=masc|Target::markable_10050118::Preferred=true Sentiment::markable_10050117::Sentiment=True
311906897215234049	positive	Gleich tritt Rafiki auf den Balkon und hält den neuen Papst in die Luft und alle Tiere des geweihten Vatikan fallen auf ...	gleich treten Rafiki auf die Balkon und halten die neu Papst in die Luft und alle Tier die geweiht Vatikan fallen auf ...	ADJD VVFIN NE APPR ART NN KON VVFIN ART ADJA NN APPR ART NN KON PIAT NN ART ADJA NN VVFIN PTKVZ $.	2/MO 0/-- 2/SB 2/MO 6/NK 4/NK 2/CD 7/CJ 11/NK 11/NK 8/OA 11/MNR 14/NK 12/NK 11/CD 17/NK 15/CJ 20/NK 20/NK 17/AG 17/PD 8/SVP 22/--	_ pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ case=acc|gender=neut|num=pl case=acc|gender=neut|num=pl case=gen|gender=neut|num=sg case=gen|EmoExpression::markable_104013080::Intensity=medium|EmoExpression::markable_104013080::EmoExpression=True|EmoExpression::markable_104013080::Sarcasm=false|gender=neut|pos=True|EmoExpression::markable_104013080::Polarity=positive|num=sg|EmoExpression::markable_104013080::SubjectiveFact=false|EmoExpression::markable_104013080::Uncertain=false case=gen|gender=neut|num=sg _ _ _
311922750186979329	positive	Franz ist jetzt nicht nur Kaiser sondern auch Papst . Ein Teufelskerl .	Franz sein jetzt nicht nur Kaiser sondern auch Papst . eine Teufelskerl .	NE VAFIN ADV PTKNEG ADV NN KON ADV NN $. ART NN $.	2/SB 0/-- 2/MO 5/NG 6/MO 2/PD 6/CD 9/MO 7/CJ 9/-- 12/NK 0/-- 12/--	case=nom|Sentiment::markable_67::Sentiment=True|num=sg|Target::markable_69::Preferred=true|Target::markable_69::Target=True|gender=neut|Target::markable_69::Anaphref=empty pers=3|Sentiment::markable_67::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_67::Sentiment=True Sentiment::markable_67::Sentiment=True Sentiment::markable_67::Sentiment=True case=nom|gender=masc|num=pl|Sentiment::markable_67::Sentiment=True Sentiment::markable_67::Sentiment=True Sentiment::markable_67::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_67::Sentiment=True Sentiment::markable_67::Sentiment=True case=nom|gender=neut|num=sg|Sentiment::markable_67::Sentiment=True case=nom|Sentiment::markable_67::Sentiment=True|EmoExpression::markable_68::Sarcasm=false|gender=neut|EmoExpression::markable_68::Intensity=medium|num=sg|EmoExpression::markable_68::Uncertain=false|EmoExpression::markable_68::Polarity=positive|EmoExpression::markable_68::EmoExpression=True|EmoExpression::markable_68::SubjectiveFact=false _
311918324747476993	neutral	Jorge Mario Bergoglio ist 76, der erste Lateinamerikaner und der erste Jesuit als Papst .	Jorge Mario Bergoglio sein @card@ die erst Lateinamerikaner und die erst Jesuit als Papst .	NE NE NE VAFIN CARD ART ADJA NN KON ART ADJA NN KOKOM NN $.	3/PNC 3/PNC 4/SB 0/-- 4/SB 8/NK 8/NK 4/PD 8/CD 12/NK 12/NK 9/CJ 14/CM 12/CC 14/--	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg _
312102028618899456	neutral	Mit dem Papst kamen die Flocken. neuschnee märzwinter oberbayern	mit die Papst kommen die Flocken. neuschnee märzwinter oberbayern	APPR ART NN VVFIN ART NN ADJD ADJD ADJA	4/MO 3/NK 1/NK 0/-- 6/NK 4/SB 4/MO 4/MO 4/MO	_ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg pers=3|num=pl|tense=past|mood=ind case=nom|*=True|num=pl case=nom|*=True|num=pl pos=True comp=True _
311909144569466881	neutral	Ist er der nächste Papst ? - Angelo Scola - der Wahrscheinliche	sein er die nah Papst ? - Angelo Scola - die wahrscheinlich	VAFIN PPER ART ADJA NN $. $( NE NE $( ART ADJA	0/-- 1/SB 5/NK 5/NK 1/PD 5/-- 8/-- 9/PNC 0/-- 9/-- 12/NK 9/APP	pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pers=3 case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True
311913879787675648	neutral	Gleich kommt Sonja Zietlow auf den Balkon und verkündet : " Du bist es ... vielleicht . " papst	gleich kommen Sonja Zietlow auf die Balkon und verkünden : " du sein es ... vielleicht . " papst	ADJD VVFIN NE NE APPR ART NN KON VVFIN $. $( PPER VAFIN PPER $. ADV $. $( ADJA	2/MO 0/-- 4/PNC 2/SB 2/MO 7/NK 5/NK 2/CD 8/CJ 9/-- 10/-- 13/SB 9/RS 13/SB 14/-- 0/-- 16/-- 17/-- 0/--	pos=True pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg case=nom|*=True|num=sg _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ pers=3|num=sg|tense=pres|mood=ind _ _ case=nom|*=True|num=sg|pers=2 pers=2|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ _ _ _ _
311929013453062145	positive	Ok . Papst ist gewählt . Nun warten wir auf %User bei %User | @ProSieben	Ok . Papst sein wählen . nun warten wir auf %User bei %User | @ProSieben	NE $. NN VAFIN VVPP $. ADV VVFIN PPER APPR NE APPR NE XY ADJA	0/-- 1/-- 4/SB 0/-- 4/PD 5/-- 8/MO 0/-- 8/SB 8/MO 10/NK 8/MO 12/NK 13/PNC 8/MO	case=nom|*=True|num=sg _ case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_104013081::EmoExpression=True|EmoExpression::markable_104013081::Uncertain=false|EmoExpression::markable_104013081::Sarcasm=false|EmoExpression::markable_104013081::SubjectiveFact=true|EmoExpression::markable_104013081::Intensity=medium|EmoExpression::markable_104013081::Polarity=positive _ _ pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 _ case=acc|*=True|num=sg _ case=acc|*=True|num=sg _ _
311952017306312705	neutral	Ein Papst aus Argentinien . Dann hätte ich Maradona genommen . Das wäre der erste Papst mit der Hand Gottes gewesen . Ha ...	eine Papst aus Argentinien . dann haben ich Maradona nehmen . die sein die erst Papst mit die Hand Gott sein . Ha ...	ART NN APPR NE $. ADV VAFIN PPER NE VVPP $. PDS VAFIN ART ADJA NN APPR ART NN NN VAPP $. NE $.	2/NK 0/-- 2/MNR 3/NK 4/-- 10/MO 0/-- 7/SB 10/OA 7/OC 10/-- 13/SB 0/-- 16/NK 16/NK 21/PD 16/MNR 19/NK 17/NK 19/AG 13/OC 21/-- 0/-- 23/--	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ case=dat|gender=neut|num=sg _ _ pers=1|num=sg|tense=past|mood=subj case=nom|*=True|num=sg|pers=1 case=acc|gender=neut|num=sg _ _ case=nom|gender=neut|num=sg pers=3|num=sg|tense=past|mood=subj case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg case=gen|gender=masc|num=sg _ _ case=nom|*=True|num=sg _
312176580808015872	neutral	Der Papst gehört einem Orden von " Elitechristen " an - DIE WELT : Yahoo ! TV DeutschlandDer Papst gehört einem Or ...	die Papst gehören eine Orden von " Elitechristen " an - die WELT : Yahoo ! TV DeutschlandDer Papst gehören eine or ...	ART NN VVFIN ART NN APPR $( NN $( PTKVZ $( ART NE $. NE $. NE NN NN VVFIN ART NE $.	2/NK 3/SB 0/-- 5/NK 3/DA 5/PG 8/-- 6/NK 8/-- 3/SVP 12/-- 13/NK 0/-- 13/-- 13/UC 15/-- 18/PNC 20/SB 18/NK 0/-- 22/NK 20/DA 22/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ _ case=dat|gender=masc|num=pl _ _ _ *=True *=True _ case=nom|gender=neut|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _
311942960579244034	neutral	War das jetzt ein metaphorischer Kommentar zu Papst oder wirklicher Fussball ?	sein die jetzt eine metaphorisch Kommentar zu Papst oder wirklich Fußball ?	VAFIN PDS ADV ART ADJA NN APPR NN KON ADJA NN $.	0/-- 1/SB 1/MO 6/NK 6/NK 1/PD 6/MNR 7/NK 8/CD 11/NK 9/CJ 11/--	pers=3|num=sg|tense=past|mood=ind case=nom|gender=neut|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ case=dat|gender=masc|num=sg _ case=dat|gender=fem|num=sg|pos=True case=dat|gender=fem|num=sg _
311920378916270081	neutral	Sein Blick : " Jaja , kann ich jetzt Fussball gucken gehen ? " Papst	sein Blick : " Jaja , können ich jetzt Fußball gucken gehen ? " Papst	PPOSAT NN $. $( NN $, VMFIN PPER ADV NN VVINF VVINF $. $( NN	2/NK 7/PD 2/-- 3/-- 7/SB 5/-- 0/-- 7/SB 7/MO 11/OA 12/OC 7/OC 12/-- 13/-- 0/--	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ _ case=nom|gender=fem|num=sg _ pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ case=acc|gender=masc|num=sg _ _ _ _ case=nom|gender=masc|num=sg
311927579638657024	neutral	Seit wann dürfen Catwalktrainer Papst werden ? habemus papam	seit wann dürfen Catwalktrainer Papst werden ? habemus papam	APPR PWAV VMFIN NN NN VAINF $. NN ADJD	3/MO 1/NK 0/-- 3/SB 6/PD 3/OC 6/-- 0/-- 8/PD	_ _ pers=3|num=pl|tense=pres|mood=ind case=nom|gender=neut|num=pl case=nom|gender=neut|num=pl _ _ _ pos=True
311946969826357248	positive	Warum in Gottes Namen sind es immer die grössten reaktionären Arschlöcher , die Papst werden ? scheisskirche	warum in Gott Name sein es immer die groß reaktionär Arschloch , die Papst werden ? scheisskirche	PWAV APPR NN NN VAFIN PPER ADV ART ADJA ADJA NN $, ART NN VAINF $. NN	5/MO 5/MO 4/AG 2/NK 0/-- 5/SB 5/MO 11/NK 11/NK 11/NK 15/PD 11/-- 14/NK 11/CJ 6/RE 15/-- 0/--	_ _ case=gen|gender=masc|num=sg case=nom|gender=masc|num=pl mood=ind|Sentiment::markable_70::Sentiment=True|Sentiment::markable_70::Polarity=positive|pers=3|num=pl|tense=pres|Sentiment::markable_70::Sarcasm=false|Sentiment::markable_70::Intensity=medium case=nom|gender=neut|num=sg|Sentiment::markable_70::Sentiment=True|pers=3 Sentiment::markable_70::Sentiment=True case=acc|gender=fem|num=pl|Sentiment::markable_70::Sentiment=True case=acc|Intensifier::markable_72::EmoExpressionRef=emo-expression:markable_71|Sentiment::markable_70::Sentiment=True|gender=fem|Intensifier::markable_72::Degree=strong|num=pl|sup=True|Intensifier::markable_72::Intensifier=True case=acc|EmoExpression::markable_10050127::Intensity=medium|EmoExpression::markable_10050127::SubjectiveFact=false|Sentiment::markable_70::Sentiment=True|gender=masc|EmoExpression::markable_10050127::Polarity=negative|EmoExpression::markable_10050127::Sarcasm=false|num=pl|comp=True|EmoExpression::markable_10050127::Uncertain=false|EmoExpression::markable_10050127::EmoExpression=True case=acc|EmoExpression::markable_71::Intensity=strong|EmoExpression::markable_71::SubjectiveFact=false|Sentiment::markable_70::Sentiment=True|gender=masc|EmoExpression::markable_71::Polarity=positive|EmoExpression::markable_71::Uncertain=false|num=pl|EmoExpression::markable_71::Sarcasm=false|EmoExpression::markable_71::EmoExpression=True Sentiment::markable_70::Sentiment=True case=acc|gender=masc|num=pl|Sentiment::markable_70::Sentiment=True case=acc|Target::markable_73::Anaphref=empty|num=pl|Target::markable_73::Preferred=true|Target::markable_73::Target=True|Sentiment::markable_70::Sentiment=True|gender=masc Sentiment::markable_70::Sentiment=True _ case=nom|EmoExpression::markable_104013082::Uncertain=false|EmoExpression::markable_104013082::Intensity=medium|EmoExpression::markable_104013082::SubjectiveFact=false|gender=fem|EmoExpression::markable_104013082::EmoExpression=True|num=sg|EmoExpression::markable_104013082::Sarcasm=false|EmoExpression::markable_104013082::Polarity=negative
311956589332529152	negative	Warum haben wir schon wieder einen katholischen papst ? Kommt das niemandem verdächtig vor ?	warum haben wir schon wieder eine katholisch Papst ? kommen die niemand verdächtig vor ?	PWAV VAFIN PPER ADV ADV ART ADJA NN $. VVFIN PDS PIS ADJD PTKVZ $.	2/MO 0/-- 2/SB 2/MO 2/MO 8/NK 8/NK 2/OA 8/-- 0/-- 10/SB 10/DA 10/MO 10/SVP 14/--	_ pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 _ _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg case=dat|gender=masc|num=sg EmoExpression::markable_104013083::Sarcasm=false|EmoExpression::markable_104013083::Uncertain=false|EmoExpression::markable_104013083::Intensity=medium|EmoExpression::markable_104013083::SubjectiveFact=false|EmoExpression::markable_104013083::EmoExpression=True|EmoExpression::markable_104013083::Polarity=negative|pos=True _ _
311906060338331648	neutral	Am 13. 3. 13 sollte man keinen Papst wählen . Aus Prinzip	an 13. 3. 13 sollen man keine Papst wählen . aus Prinzip	APPRART ADJA ADJA CARD VMFIN PIS PIAT NN VVINF $. APPR NN	5/MO 3/NK 1/NK 3/NK 0/-- 5/SB 8/NK 9/OA 5/OC 9/-- 0/-- 11/NK	case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg|pos=True _ pers=3|num=sg|tense=past|mood=ind case=nom|*=True|num=sg case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ _ _ case=dat|gender=masc|num=sg
311923789246111744	positive	Ach , die Tagesschau war auf Standby ? ! %PosSmiley Papst Franziskus	ach , die Tagesschau sein auf Standby ? ! %PosSmiley Papst Franziskus	ITJ $, ART NN VAFIN APPR NN $. $. ITJ NN NE	5/NK 1/-- 4/NK 5/SB 0/-- 5/MO 6/NK 7/-- 8/-- 5/NK 0/-- 11/NK	_ _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=past|mood=ind _ case=acc|gender=fem|num=pl _ _ EmoExpression::markable_74::EmoExpression=True|EmoExpression::markable_74::Uncertain=false|EmoExpression::markable_74::Intensity=strong|EmoExpression::markable_74::SubjectiveFact=false|EmoExpression::markable_74::Polarity=positive|EmoExpression::markable_74::Sarcasm=false case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg
311956263904882688	positive	... sind wir schon wieder Papst ?! %PosSmiley oder wirst du Die Päpstin ??? %PosSmiley	... sein wir schon wieder Papst ?! %PosSmiley oder werden du die Päpstin ??? %PosSmiley	$. VAFIN PPER ADV ADV NN ADJA ITJ KON VAFIN PPER ART ADJD ADJA ITJ	0/-- 0/-- 2/SB 2/MO 2/MO 2/PD 6/NK 10/NK 10/JU 0/-- 10/SB 14/NK 14/MO 10/MO 0/NK	_ pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True EmoExpression::markable_75::Sarcasm=false|EmoExpression::markable_75::EmoExpression=True|EmoExpression::markable_75::Uncertain=false|EmoExpression::markable_75::Intensity=medium|EmoExpression::markable_75::SubjectiveFact=false|EmoExpression::markable_75::Polarity=positive _ pers=2|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=2 case=acc|gender=fem|num=sg pos=True case=acc|gender=fem|num=sg|pos=True EmoExpression::markable_76::Intensity=medium|EmoExpression::markable_76::Polarity=positive|EmoExpression::markable_76::Sarcasm=false|EmoExpression::markable_76::SubjectiveFact=false|EmoExpression::markable_76::Uncertain=false|EmoExpression::markable_76::EmoExpression=True
311907198810853376	neutral	Der Papst ist gewählt und aus gegebenem Anlass geht ServusTV voraussichtlich erst um 19:25 Uhr live aus Nürnberg ... http : ...	die Papst sein wählen und aus gegeben Anlass gehen ServusTV voraussichtlich erst um @card@ Uhr live aus Nürnberg ... Http : ...	ART NN VAFIN VVPP KON APPR ADJA NN VVFIN NE ADJD ADV APPR CARD NN ADJD APPR NE $. NN $. $.	2/NK 3/SB 0/-- 3/PD 3/CD 9/MO 8/NK 6/NK 5/CJ 9/SB 9/MO 13/MO 9/MO 15/NK 13/NK 15/MNR 16/MO 17/NK 18/-- 0/-- 20/-- 21/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ _ case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg pos=True _ _ _ case=acc|gender=fem|num=sg pos=True _ case=dat|gender=neut|num=sg _ _ _ _
311968555438600193	positive	Lesenswert : Portrait von Papst Franziskus aus dem Jahr 2005 %Link via %User	Lesenswert : Portrait von Papst Franziskus aus die Jahr 2005 %Link via %User	NN $. NN APPR NN NE APPR ART NN CARD XY APPR NE	0/-- 1/-- 0/-- 3/PG 4/NK 5/NK 3/MNR 9/NK 7/NK 9/NK 0/-- 3/MO 12/NK	case=nom|EmoExpression::markable_104013084::SubjectiveFact=false|gender=fem|EmoExpression::markable_104013084::Intensity=medium|num=sg|EmoExpression::markable_104013084::EmoExpression=True|EmoExpression::markable_104013084::Uncertain=false|EmoExpression::markable_104013084::Polarity=positive|EmoExpression::markable_104013084::Sarcasm=false _ case=nom|gender=fem|num=sg _ case=nom|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ _ _ case=nom|gender=masc|num=sg
311916367387435010	positive	Ich wünsche mir einen Papst , der Kondome vom Balkon aus in die Menge wirft .	ich wünschen ich eine Papst , die Kondom von Balkon aus in die Menge werfen .	PPER VVFIN PPER ART NN $, ART NN APPRART NN APPR APPR ART NN VVFIN $.	2/SB 0/-- 2/DA 5/NK 2/OA 5/-- 15/SB 15/OA 8/MNR 9/NK 9/AC 15/MO 14/NK 12/NK 5/RC 15/--	case=nom|*=True|num=sg|pers=1 EmoExpression::markable_104013085::EmoExpression=True|mood=ind|EmoExpression::markable_104013085::Sarcasm=false|pers=1|EmoExpression::markable_104013085::Intensity=medium|EmoExpression::markable_104013085::Uncertain=false|num=sg|tense=pres|EmoExpression::markable_104013085::SubjectiveFact=false|EmoExpression::markable_104013085::Polarity=positive case=dat|pers=1|num=sg case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=gen|gender=neut|num=pl case=gen|gender=neut|num=pl case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _
311918914126888961	negative	Wenn nicht alles ausfällt wegen dem ficker papst	wenn nicht alle ausfallen wegen die ficker Papst	KOUS PTKNEG PIS VVFIN APPR ART ADJA NN	4/CP 3/NG 4/SB 0/-- 4/MO 8/NK 8/NK 5/NK	Sentiment::markable_10050122::Sentiment=True Sentiment::markable_10050122::Sentiment=True case=nom|gender=neut|num=sg|Sentiment::markable_10050122::Sentiment=True pers=3|Sentiment::markable_10050122::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_10050122::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_10050122::Sentiment=True case=dat|Sentiment::markable_77::Sentiment=True|EmoExpression::markable_79::Polarity=negative|gender=masc|Sentiment::markable_77::Sarcasm=false|EmoExpression::markable_79::Intensity=medium|EmoExpression::markable_79::Sarcasm=false|pos=True|Sentiment::markable_77::Polarity=negative|num=sg|EmoExpression::markable_79::SubjectiveFact=false|EmoExpression::markable_79::Uncertain=false|Sentiment::markable_10050122::Sentiment=True|Sentiment::markable_77::Intensity=medium|EmoExpression::markable_79::EmoExpression=True case=dat|Sentiment::markable_77::Sentiment=True|gender=masc|Target::markable_78::Target=True|num=sg|Target::markable_78::Preferred=true|Sentiment::markable_10050122::Sentiment=True|Target::markable_78::Anaphref=empty
